Nascimento,Estado sanguíneo,Estado civil,Nacionalidade,Outros nomes,Título(s),Assinatura,Espécie,Gênero,Altura,Peso,Cor do cabelo,Cor dos olhos,Membros da família,Bicho-papão,Varinha,Patrono,Ocupação,Casa,Lealdade,Nome,Cor da pele,Romances,Morte,Cor das penas,Dono (s),Forma animaga,Cor do pelo,Título (s),Familiares
28 de Junho ano desconhecido,,,,,,,Elfo-doméstico,Masculino,aproximadamente 90 centímetros,,,verdes,,,,,"Elfo-doméstico da Família Malfoy (? - 1993), Funcionário da cozinha de Hogwarts  (antes de 1995 - 1998)",,"Família Malfoy (antigamente), Harry PotterTrio, Trio, Armada de Dumbledore, Ordem da Fênix, Escola de Magia e Bruxaria de Hogwarts, S.P.E.W.",Dobby,,,"Final de Março de 1998Chalé das Conchas, Tinworth, Cornwall, Inglaterra",,,,,,
ano de 1907,puro,casada,,,,,bruxa,feminino,,,,pretos,"Salazar Sonserina (ancestral) †, Cadmus Peverell (ancestral) †, Corvinus Gaunt (ancestral) †, Marvolo Gaunt (pai) †, Morfino Gaunt (irmão) †, Tom Riddle Snr (marido) †, Tom Marvolo Riddle (filho) †, Delphini Riddle (neta), Thomas Riddle (sogro) †, Mary Riddle (sogra) †, Família Potter (primos distantes)",,desconhecida,,,nunca foi chamada para Hogwarts,"Família Riddle, Família Gaunt",Mérope Riddle (nascida Gaunt),branca,,"31 de dezembro, 1926 (19 anos)Londres, Inglaterra, Grã-Bretanha",,,,,,
Antes de 1979[1],Trouxa,Casado,Britânico,Wendell Wilkins (1997-1998)[2],Doutor,,Humana,Masculino,,,,,"Sra. Granger (esposa), Hermione Granger (filha), Ronald Weasley (genro), Rosa Granger-Weasley[3] (neta), Hugo Granger-Weasley[3] (neto), Hector Dagworth-Granger (possível parente), Família Granger, Família Weasley",,,,Dentista,,Família Granger,Sr. Granger,,Sra. Granger (esposa),,,,,,,
"Por torno de 993Câmara Secreta, Castelo de Hogwarts, Escócia[1]",,,,,,,Basilisco[2],Fêmea[3],,,,Amarelo [2],,,,,,,"Salazar Slytherin[1], Tom Riddle[2], Casa Gaunt[5]",Basilisco de Salazar Slytherin,Verde luzidio e venenoso[4],,"29 de maio de 1993 (por torno dos 1000 anos de idade)Câmara Secreta, Castelo de Hogwarts, Escócia[2]",,,,,Rei das serpentes[2],
"6 de fevereiro[1] de 1950[2], Inglaterra[3], Grã-Bretanha",Sangue puro[4],,Inglês,,,,Humana,Masculino,"1,80cm[3]","69,85[3]",Ruivo[5],Verdes[3],"Septimus Weasley (pai), Cedrella Weasley (nascida Black) (mãe) †, Dois irmãos, Abílio (irmão ou cunhado) †, Irmão ou cunhado, Arturo Black II (tio materno) †, Lysandra Black (nascida Yaxley) (tia materna), Caspar Crouch (primo materno) †, Charis Crouch (nascida Black) (tia materna) †, Molly Weasley (nascida Prewett) (esposa), Sr. Prewett (sogro), Sra. Prewett (sogra), Gui Weasley (son), Carlinhos Weasley (filho), Percy Weasley (filho), Fred Weasley (filho) †, Jorge Weasley (filho), Rony Weasley (filho), Gina Potter (nascida Weasley) (filha), Bartô Crouch Sr. (possível primo) †, Harfang Longbottom (tio materno), Callidora Longbottom (nascida Black) (tia materna), Primo, Primas, Primo, Prima, Tessie (tia), Muriel (tia por casamento), Sobrinho, Gideão Prewett (cunhado) †, Fábio Prewett (cunhado) †, Fleur Weasley (nascida Delacour) (nora), Audrey Weasley (nora), Angelina Weasley (nascida Johnson) (nora), Hermione Granger (nora), Harry Potter (genro), Victoire Weasley (neta), Dominique Weasley (neta), Louis Weasley (neto), Molly Weasley II (neta), Lúcia Weasley (neta), Fred Weasley II (neto), Roxanne Weasley (neta), Rosa Granger-Weasley (neta), Hugo Granger-Weasley (neto), Tiago Potter II (neto), Alvo Potter (neto), Lílian Potter (neta), Casa dos Black",Lorde Voldemort[6],"Comprimento, madeira e núcleo desconhecidos",Doninha[7],"Chefe da Seção de Controle do Mau Uso dos Artefatos dos Trouxas[8], Chefe do Seção para Detecção e Confisco de Feitiços Defensivos e Objetos de Proteção Forjados", Grifinória[9],"Família Weasley, Família Prewett, Família Potter, Ordem da Fênix, Ministério da Magia BritânicoDepartamento de Execução das Leis da MagiaSeção de Controle do Mau Uso dos Artefatos dos TrouxasSeção para Detecção e Confisco de Feitiços Defensivos e Objetos de Proteção Forjados, Departamento de Execução das Leis da MagiaSeção de Controle do Mau Uso dos Artefatos dos TrouxasSeção para Detecção e Confisco de Feitiços Defensivos e Objetos de Proteção Forjados, Seção de Controle do Mau Uso dos Artefatos dos Trouxas, Seção para Detecção e Confisco de Feitiços Defensivos e Objetos de Proteção Forjados, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória",Arthur Weasley,Clara[3],,,,,,,,
Outubro de 1637[1][2],,,Britânico ou irlandês[5],,"Diretor[6], Professor[6]",,Humana[6],Masculino[6],,,"Castanho (quando jovem)[7], Branco[6]",,,,,,Diretor da Escola de Magia e Bruxaria de Hogwarts[6] (início do século XX - entre 1965 a 1971),,Escola de Magia e Bruxaria de Hogwarts[6],Armando Dippet,,,Entre 1 de setembro e 31 de dezembro de 1992[3] (aos 354 ou 355 anos)[4],,,,,,
,Trouxa[1],Casada[1],Britânica[1],,,,Humana[1],Feminino[1],,,,,Sr. Mason (marido)[1],,,,,,Família Mason[1],Sra. Mason,,,,,,,,,
,Puro-sangue (mais provável),,,,,,Humano,Masculino,,,,,,,,,Lojista,,Borgin e Burkes,Sr. Borgin,,,,,,,,,
"c. 1979, Grã-Bretanha ou Irlanda[1]",Mestiço[2],Casada,Britanica,,,,Humana,Feminino,,,Negros,Negros,"Sr. Chang (pai), Sra. Chang (mãe)",Solidão,Desconhecida,Cisne,Desfazedora de Feitiços,Corvinal,"Família Chang, Armada de Dumbledore, Escola de Magia e Bruxaria de HogwartsTime de Quadribol da CorvinalCorvinal, Time de Quadribol da Corvinal, Corvinal",Cho Chang,Clara,"Cedrico Diggory (morreu), Edward Edgecombe, Harry Potter ( foi trocada)",,,,,,,
"22 de novembro,[1] antes de 1927[2]",Puro-sangue ou mestiço[1],Solteiro[1],Britânico[1],,Professor[1],,Humana[1],Masculino[1],,,Prateado[5],Castanhos[5],,,"Vinte e nove centímetros, castanha e pena de fênix, flexível[5]",,Professor de Trato das Criaturas Mágicas (? – 1993)[6],Lufa-Lufa[3],"Família Kettleburn, Escola de Magia e Bruxaria de Hogwarts[6]Lufa-Lufa, Lufa-Lufa",Silvano Kettleburn,Branca[5],,Entre 2 de maio de 1998[3] e 22 de novembro de 2014[4],,,,,,
"9 de março[1], anterior a 1963[2]",Mestiça [1],Divorciada[1][3],Irlandesa ou Escocesa,,"Professora[4], Vidente[5]",,Humana (Vidente)[4],Feminino[4],,,,,"Sr. Trelawney (pai)[1], Sra. Trelawney (mãe)[1], Higglebottom (ex-marido)[1], Cassandra Trelawney (tetravó) †[6]",Lorde Voldemort[7],"24,13 cm, Aveleira e Pelo de Unicórnio",Incorpóreo[7][8],"Professora de Adivinhação na Escola de Magia e Bruxaria de Hogwarts (1981-1996, 1997-?)[4], Chefe da Oficina de Adivinhação na Escola de Magia e Bruxaria de Hogwarts (possivelmente), Autora", Corvinal,"Escola de Magia e Bruxaria de Hogwarts[4]Corvinal[1]Clube do Slugue (possivelmente[9]), Corvinal[1], Clube do Slugue (possivelmente[9]), Ordem da Fênix (durante a Batalha de Hogwarts)[10], Armada de Dumbledore (durante a Batalha de Hogwarts)[10], Oficina de Adivinhação (possivelmente), Família Trelawney[1]",Sibila Patricia Trelawney,,,,,,,,,
Antes de 1959[1],,,Britânica[2],,Madame[2],,Humana[2],Feminino[2],,,Louro[3],Esverdeados[3],,Lorde Voldemort[4],,Não corpóreo[4][5],,,"Três Vassouras[2], Draco Malfoy (sob efeito da Maldição Imperius)[6][7]",Rosmerta,Branca[3],,,,,,,,
"29 de novembro de 1970, Inglaterra, Grã-Bretanha",Puro-sangue,"Casado, 1997",britânico,GuiBill,,,,,,,Ruivo,Azuis,,,,,Desfazedor de Feitiços,Grifinória,"Família Delacour, Família Weasley, Família Prewett, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória, Ordem da Fênix, Banco de Gringotes",Guilherme Weasley,Branca,"Fleur Delacour (esposa), Estudante Castelobruxo (ex-namorada), Emily Tyler (ex-crush)",,,,,,,
c. 1973[1],,,,,,,Humana,Masculino,,,,,,,,,,,"Comensais da Morte (sob a Maldição Imperius), Nôitibus Andante",Stanislau Shunpike,,,,,,,,,
29 de Junho de 1960,Sangue puro ou Mestiço,Solteiro,Britânico ou irlandês[1],"Rabicho (pelos Marotos, Harry Potter, e Lorde Voldemort, Perebas (pela família Weasley e outros), O servo de Lorde Voldemort[2]",,,Humana[2],Masculino[2],,,"Finos e descoloridos[2], Castanho claro[3] (anteriormente)",,"Sra. Pettigrew (mãe)[2], Enid Pettigrew (possível parente), Família Pettigrew",Lorde Voldemort[4],"Primeira varinha desconhecida, Trinta e quatro centímetros, teixo e pena de cauda de fênix (temporariamente), Vinte e três centímetros, castanheira e fibra de coração de dragão[5]",Nenhum[6],, Grifinória[7],"Família Pettigrew, Família Weasley (como Perebas) (anteriormente), Escola de Magia e Bruxaria de Hogwarts (anteriormente)GrifinóriaMarotos, GrifinóriaMarotos, Marotos, Ordem da Fênix (anteriormente, desertado), R (anteriormente), Lorde Voldemort (anteriormente)Comensais da Morte (anteriormente, desertado), Comensais da Morte (anteriormente, desertado)",Pedro Pettigrew,,,"Final de março de 1998, Mansão Malfoy, Wiltshire, Inglaterra, Grã-Bretanha",,,Rato acinzentado (não registrado)[2],,,
Antes de 1993,,,,,,,Meio-Amasso[1],Masculino,,,,Amarelado,,,,,,,"Animais Mágicos (antes), Hermione Granger (dona), Sirius Black",Bichento,,,Entre 1997 e 2021,,Hermione Granger,,Ruivo,,Família Granger
10 de março de 1960[1],Mestiço[2],Casado,Britânico ou irlandês[3],"Aluado (pelos Marotos), Rômulo (Observatório Potter)","Monitor, Professor[4]",,Humana (Lobisomem)[5],Masculino[4],"1,87cm[6]",76kg[6],Castanho-claro fartamente embranquecido[7][8],Verde[6],"Lyall Lupin (pai)[1], Hope Lupin (nascida Howell) (mãe) †[1], Ninfadora Tonks (esposa) †, Eduardo Lupin (filho), Eduardo Tonks (sogro) †, Andrômeda Tonks (nascida Black) (sogra), Família Lupin, Família Howell (família materna)",Lua cheia[9],"Vinte e cinco centímetros, cipreste e pelo de unicórnio[1]",Lobo[1],Professor de Defesa Contra as Artes das Trevas em Hogwarts(1993–1994), Grifinória[2],"Família Lupin, Família Howell, Escola de Magia e Bruxaria de HogwartsGrifinóriaMarotos, Grifinória, Marotos, Ordem da Fênix, Guarda Avançada, Família Tonks",Remo João Lupin,,Ninfadora Tonks (esposa) †,"2 de maio de 1998 (38 anos), Castelo de Hogwarts, Terras Altas, Escócia, Grã-Bretanha",,,,,,
Entre 1 de setembro a 30 de outubro de 1977[1],Puro-Sangue (possivelmente) ou Mestiço[2],,Britânico ou Irlandês,"Ced (por seu pai)[3], Zé Bonitinho Diggory (por Simas Finnigan)[4]","Capitão de Quadribol[5], Apanhador[6], Monitor[6], Campeão Tribruxo[6]",     ,Humano[5],Masculino[5],,,Escuros[7],Cinzentos[7][8],"Amos Diggory (pai), Sra. Diggory (mãe), Eldritch Diggory (possível parente)",Lorde Voldemort[9],"Trinta centímetros, freixo e pelo de unicórnio[10]",,, Lufa-Lufa,"Família Diggory, Escola de Magia e Bruxaria de HogwartsLufa-LufaTime de Quadribol da Lufa-Lufa, Lufa-Lufa, Time de Quadribol da Lufa-Lufa, Comensais da Morte (realidade alternativa)",Cedrico Diggory,,Cho Chang,"24 de junho de 1995 (17 anos), Cemitério de Little Hangleton, Inglaterra, Grã-Bretanha",,,,,,
"3 de novembro[1] de 1959[2]Islington, Londres, Inglaterra[3], Grã-Bretanha",Sangue puro,Solteiro,Inglês,"Almofadinhas (pelos Marotos e pelo trio)[6], Snuffles (pelo Trio)[7], Toquinho Boardman (pelo O Pasquim)[8]",,,Humana[9],Masculino[9],"1,75[3]",,Preto[10],Acinzentado[11],"Orion Black (pai/primo materno em segundo grau depois de removido) †, Walburga Black (mãe/prima paterna em segundo grau depois de removida) †, Fleamont Potter (tutor) †, Euphemia Potter (tutora) †, Régulo Black II (irmão/primo em terceiro grau) †, Arturo Black III (avô paterno/primo materno duas vezes removido) †, Melania Black (nascida Macmillan) (avó paterna/prima paterna em primeiro grau duas vezes removida por casamento), Pollux Black (avô materno/primo paterno duas vezes removido) †, Irma Black (nascida Crabbe) (avó materna/prima paterna duas vezes removida), Lucretia Prewett (nascida Black) (tia paterna/prima materna em segundo grau depois de removida) †, Alphard Black (tio materno/primo paterno em segundo grau depois de removido) †, Cygnus Black III (tio materno/primo paterno em segundo grau depois de removido) †, Ignatius Prewett (tio paterno por casamento/primo materno em segundo grau depois de removido por casamento), Druella Black (nascida Rosier) (tia materna por casamento/prima materna em segundo grau depois de removida por casamento) †, Belatriz Lestrange (nascida Black) (prima materna em primeiro grau/prima paterna em terceiro grau) †, Andrômeda Tonks (nascida Black) (prima materna em primeiro grau/prima paterna em terceiro grau), Narcisa Malfoy (nascida Black) (prima materna em primeiro grau/prima paterna em terceiro grau), Rodolfo Lestrange (primo materno em primeiro grau por casamento/primo paterno em terceiro grau), Eduardo Tonks (primo materno em primeiro grau por casamento/primo paterno em terceiro grau) †, Lúcio Malfoy (primo materno em primeiro grau por casamento/primo paterno em terceiro grau), Casa dos Black, Família Macmillan (parentes paternos), Família Crabbe (parentes maternos), Família Gamp  (parentes paterno), Família Bulstrode (parentes maternos), Família Flint (parentes paterno/maternos)",Lorde Voldemort[13],"Comprimento, madeira e núcleo desconhecidos[9]",Cão (possivelmente) [14],, Grifinória,"Casa dos Black (anteriormente; deserdado), Escola de Magia e Bruxaria de HogwartsGrifinóriaMarotos[6], Grifinória, Marotos[6], Família Potter, Ordem da Fênix",Sirius Black III,Branca[12],,"18 de junho de 1996[4] (36 anos), Câmara da Morte, Departamento de Mistérios, Ministério da Magia Britânico, Whitehall, Londres, Inglaterra, Grã-Bretanha[5]",,,Cão preto[9] (não-registrado)[6],,,
Anterior a 1994,,,,Píchi,,,Coruja,Masculino,,,,,,,,,,,Rony Weasley (dono),Pichitinho,,,,Cinzenta,Rony Weasley (dono),,,,Família Weasley
6 de Maio de 1950,Mestiço,,,,,,Humano,Masculino,Alto,,Marrom,Castanhos,"Taís Diggory nee Dolohov (esposa), Cedrico Diggory (filho), Eldritch Diggory (possível ancestral), Olivia Potter (sogra)",,,,Departamento para Regulamentação e Controle das Criaturas Mágicas,,"Ministério da Magia Britânico, Família Diggory",Amos Diggory,Branca,,,,,,,,
,Puro-sangue ou Mestiço[1],,,,,,Humano,Masculino,,,"Loiros[2]– Olá, pessoal! – exclamou",Azuis[2][3],"Sr. Bagman (pai), Otto Bagman (irmão)",,,,"Batedor do Vespas de Wimbourne (anteriormente), Batedor da Seleção Inglesa de Quadribol (anteriormente), Chefe do Departamento de Jogos e Esportes Mágicos  (atual)",,"Vespas de Wimbourne (anteriormente), Ministério da Magia, Seleção Inglesa de Quadribol, Família Bagman",Ludovico Bagman,Rosada[2],,,,,,,,
Entre 1 de setembro de 1982 e 31 de agosto de 1983Grã-Bretanha ou Irlanda,Nascido-trouxa,Casado,,,,     ,Humano,Masculino,,,Castanho-baço[1],,"Henry Creevey (pai), Colin Creevey (irmão) †, Alícia Creevey (esposa), Henry Creevey II (filho), Edwina Creevey (filha), Collin Creevey II (filho), Elizabeth Creevey (filha), Heracles Creevey (filho)",,,,Auror, Grifinória,"Família Creevey, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória, Armada de Dumbledore",Dênis Creevey,,,,,,,,,
,Puro-sangue,Casado,,,,,Humano,Masculino,,,,,"Augusta Longbottom (mãe), Alice Longbottom (esposa), Neville Longbottom (filho), Ana Longbottom (nascida Abbott) (nora)",,Desconhecido,,Auror (anteriormente),Grifnória,"Família Longbottom, Grifinória, Ministério da Magia (anteriormente), Seção dos Aurores, Ordem da Fênix (anteriormente)",Franco Longbottom,,,,,,,,,
"Antes de 1927, Indonésia",,,,,,,HumanaCobra (após transformação),Feminino,,,Preto,Pretos,,,,,Artista de circo (anteriormente),,Lord Voldemort,Nagini,Clara,,2 de maio de 1998,,,,,,
"Abril a Agosto de 1976, Bulgária",Puro-sangue,,,,,     ,Humano,Masculino,,,Preto,Pretos,"Sr. Krum (pai), Sra. Krum (mãe), Avô †",,Bétulia e corda de coração de dragão,,,haus feuer,"Instituto Durmstrang, Time Nacional de Quadribol da Bulgária, Família Krum",Vítor Krum,Branco,,,,,,,,
Entre 1 de setembro de 1953 e 31 de agosto  de 1958[1],,,Britânica ou irlandesa,,,,Humana,Feminino,,,,,"Tia, Primo de segundo grau, Primrose Jorkins (possivelmente), Albert Jorkins (possivelmente), Granville Jorkins (possivelmente), Grimwold Jorkins  (possivelmente), Griselda Jorkins (possivelmente), Stamford Jorkins (possivelmente)",,,,"Funcionária do Departamento de Cooperação Internacional em Magia (anteriormente)[2], Funcionária do Departamento de Jogos e Esportes Mágicos",,"Família Jorkins, Escola de Magia e Bruxaria de Hogwarts, Ministério da Magia BritânicoDepartamento de Jogos e Esportes Mágicos, Departamento de Jogos e Esportes Mágicos",Berta Jorkins,,,1994(entre 35 e 40 anos)Albânia,,,,,,
"Pré 30 de outubro de 1977[1], França",Meio humano (um quarto veela)[2],Casada[3],Francesa[2],"Fleuma[4][5] (por Gina Weasley), Harry Potter[6] (sob o efeito da Poção Polissuco)",Campeã Tribruxo[7],,Humana (ancestral veela)[2],Feminino[2],,,Louro-prateado[8],Azul-profundo,"Monsieur Delacour[3] (pai), Apolline Delacour[3] (mãe), Gabrielle Delacour[9] (irmã), Avó materna[10], Primas maternas[3], Gui Weasley[3] (marido), Victoire Weasley[11] (filha), Dominique Weasley[12] (filha), Louis Weasley[12] (filho), Arthur Weasley (sogro), Molly Weasley (nascida Prewett) (sogra), Carlinhos Weasley (cunhado), Percy Weasley (cunhado), Audrey Weasley (cunhada), Molly Weasley II (sobrinha), Lúcia Weasley (sobrinha), Fred Weasley (cunhado) †, Jorge Weasley (cunhado), Angelina Weasley (nascida Johnson) (cunhada), Fred Weasley II (sobrinho), Roxanne Weasley (sobrinha), Rony Weasley (cunhado), Hermione Granger (cunhada), Rosa Weasley (sobrinha), Hugo Weasley (sobrinho), Gina Potter (nascida Weasley) (cunhada), Harry Potter (cunhado), Tiago Potter II (sobrinho), Alvo Potter (sobrinho), Lily Potter II (sobrinha), Família Delacour, Família Weasley",Lorde Voldemort[13],"Vinte e quatro centímetros, inflexível, jacarandá e fio de cabelo de veela[10]",Não corpóreo[14],Funcionária de meio período no Gringotes[15],,"Família Delacour, Academia de Magia Beauxbatons[2], Harry Potter, Gringotes, Família Weasley, Ordem da Fênix[6]",Fleur Isabelle Weasley (nascida Delacour),,Guilherme Weasley (marido)[3],,,,,,,
1962[1],Puro-sangue,Solteiro,,,,,Humano,Masculino,,,Castanho,Castanho Claro,"Bartolomeu Crouch (pai) †, Sra. Crouch (mãe) †, Casa dos Black, Família Crouch",,"Varinha de Harry Potter (brevemente), Desconhecida",None[3],,Sonserina,"Comensais da Morte, Escola de Magia e Bruxaria de Hogwarts",Bartolomeu Crouch Junior,Clara,,1995-[2]( 33 - 34 anos) (recebeu o Beijo do Dementador em 24 de Junho de 1995),,,,,,
"8 de Março de 1911,[1]Escócia,[2] Grã-Bretanha",Puro-sangue[4],Solteiro[4],,,,,Humano[4],[4],188 cm[4],,Cinza,Um escuro e um azul elétrico,,,Desconhecido,,Auror[5] (Aposentado),,"Ordem da FênixGuarda Avançada, Guarda Avançada, Escola de Magia e Bruxaria de Hogwarts, Ministério da Magia BritânicoSeção dos Aurores, Seção dos Aurores",Alastor Moody,,,"27 de julho de 1997[3]Inglaterra,[3] Grã-Bretanha",,,,,,
1980,Puro-sangue,,,,,,Humana,Feminino,,,Castanho Claro,Azuis,"pai, mãe, Kelly Brown",,Desconhecida,não-corpóreo,, Grifinória,"Família Brown, Armada de Dumbledore, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória",Lilá Brown,Branca,,"2 de maio de 1998 (17 ou 18 anos), Castelo de Hogwarts, Escócia, Grã-Bretanha",,,,,,
Entre 1 de setembro de 1979 - 31 de agosto de 1980,Puro-Sangue,Casada,Britânica ou Irlandesa,,,,Humana,Feminino,,,,,Perseus Parkinson (possível parente),,"Comprimento, madeira e núcleo desconhecidos",,, Sonserina,"Família Parkinson, Escola de Magia e Bruxaria de HogwartsSonserinaBrigada InquisitorialGangue de Draco Malfoy, Sonserina, Brigada Inquisitorial, Gangue de Draco Malfoy, Comensais da Morte (não confirmado)",Pansy Parkinson,,"Draco Malfoy sua ""ex-paixonite""",,,,,,,
entre 1959 e 1960,Sangue-Puro,Casado,,,,,Humano,Feminino,,,castanho-Escuro,castanhos,"Augusta Longbottom (sogra), Franco Longbottom (esposa), Neville Longbottom (filho), Ana Longbottom (nascida Abbott) (nora)",desconhecido,,,Auror (anteriormente),Grifinória,"Família Longbottom, Grifinória, Ministério da Magia (anteriormente), Seção dos Aurores, Ordem da Fênix (anteriormente)",Alice Longbottom,clara,,,,,,,,
1955,Puro-Sangue,Casada,Britânica,,,,Humana,Feminino,,,Loiros,Azuis,"Cygnus Black III (pai) †, Druella Rosier (mãe) †, Andrômeda Tonks (irmã), Belatriz Lestrange (irmã) †, Lúcio Malfoy (marido), Draco Malfoy (filho), Astória Greengrass (nora), Escórpio Malfoy (neto), Abraxas Malfoy (sogro), Rodolfo Lestrange (cunhado), Ted Tonks (cunhado) †, Ninfadora Tonks (sobrinha) †, Sirius Black (primo) †, Régulo Black (primo) †, Pollux Black (avó paterno) †, Irma Crabbe (avó paterna) †, Casa dos Black (família paterna), Família Rosier (família materna), Família Malfoy (por casamento)",,"Desconhecida, Desconhecida",,, Sonserina,"Casa dos Black, Família Rosier, Escola de Magia e Bruxaria de HogwartsSonserina, Sonserina, Família Malfoy, Comensais da Morte (indiretamente)",Narcisa Malfoy (nascida Black),Pálida,,,,,,,,
por volta de 1977-1978 Grã-Bretanha[1],Puro-sangue ou Mestiço[2],Casado,,,,,Humano,Masculino,,,Pretos com Dread,Castanho,Robert Jordan (pai)Edwina Jordan (mãe)Susana Jordan (esposa)Julie Jordan (filha)Cedric Jordan (filho)Bruce Jordan (filho)Phillip Jordan (filho)Elizabeth Jordan (filha),,Desconhecida,,Locutor do Observatório Potter (antigamente), Grifinória,"Família Jordan, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória, Armada de Dumbledore, Ordem da Fênix (indiretamente), Observatório Potter",Lino Jordan,Negra,,,,,,,,
Entre 31 de Julho de 1985 e 30 de Julho de 1986,Parte-Veela,,Francesa,,,,Parte-Veela,Feminino,,,Loiro prateado,Azuis escuros,"Monsieur Delacour (pai), Apolline Delacour (mãe), Fleur Delacour (irmã), Guilherme Weasley (cunhado), Victoire Weasley (sobrinha), Dominique Weasley (sobrinha), Louis Weasley (sobrinho), Avó materna",,,,,,"Família Delacour, Academia de Magia Beauxbatons",Gabrielle Delacour,Branca,Harry Potter (crush),,,,,,,
,Puro-sangue[2],,,,,,Humana,Masculino,,,Cinza com mechas pretas,,"Bartolomeu Crouch Jr. (filho), Sra. Crouch (esposa), Avô[4]",,,,"Diretor no Departamento de Execução das Leis da Magia [? - 1990], Diretor do Departamento de Cooperação internacional em Magia[5]",,"Ministério da Magia, Família Crouch",Bartolomeu Crouch Sênior,,,"27 de maio de 1995,[1] Floresta Proibida, Castelo de Hogwarts, Escócia",,,,,,
1951[1],Puro-sangue ou mestiça (possivelmente)[2],,,,,,Humana,Feminino,,,Loiro,Verdes,Amber Skeeter (Neta)Hillary Skeeter (Filha),Voldemort,,Besouro,,Sonserina,"Profeta Diário, O Pasquim",Rita Skeeter,Pálida,,,,,Besouro (não registrado),,,
em 1961 ou antes[1],Puro-sangue ou Mestiço[3],,,,,,Humano,Masculino,,,Prateado[4],Azuis[5],,,Desconhecida,,,,"Comensais da Morte (antigamente), Instituto Durmstrang",Igor Karkaroff,,,de 24 de junho a 31 de julho de 1996[2]  Norte da Europa,,,,,,
,,,Britânico[1],,,,Humano[1],Masculino[1],,,,,,,,,,,"Família Dearborn, Ordem da Fênix[1]",Carátaco Dearborn,,,,,,,,,
24-30 de outubro de 1977[1],Mestiço ou Sangue-Puro,Casada,Britânica ou Irlandesa,,,,Humana,Feminino,,,Preto,Castanhos,"Pai, mãe, possível namorado",Lorde Voldemort[2],"Comprimento, madeira e núcleo desconhecidos[2]",,Artilheira, Grifinória,"Família Johnson, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória, Time de Quadribol da Grifinória, Armada de Dumbledore",Angelina Johnson,Preta,"Fred Weasley † (par para o Baile de Inverno), Jorge Weasley (marido)",,,,,,,
,Sangue puro,,Inglês,,,,Humana,Masculino,,,,,"Sr. Prewett (pai), Sra. Prewett (mãe), Fábio Prewett (irmão) †, Molly Weasley (irmã), Bilius (possível irmão), Arthur Weasley (cunhado), Gui Weasley (sobrinho), Carlinhos Weasley (sobrinho), Percy Weasley (sobrinho), Fred Weasley (sobrinho) †, Jorge Weasley (sobrinho), Rony Weasley (sobrinho), Gina Weasley (sobrinha), Tessie (possível tia), Ignatius Prewett (tio paterno), Lucretia Prewett (tia paterna), Primo de segundo grau, avó, Muriel (tia-avó[2]), Família Prewett",,,,,,"Família Prewett, Ordem da Fênix",Gideão Prewett,,,1981[1],,,,,,
11 de maio de 1973,Mestiço,Morta,Britânica ou Irlandesa,"Dora (por Ted Tonks e Remo Lupin), Tonks (por amigos)",,,Humano (Metamorfomago),Feminino,"Variável (biologicamente 1,67 m)",,Variável (biologicamente castanho claro),Variável (biologicamente escuro),"Ted Tonks (pai) †, Andrômeda Tonks (nascida Black) (mãe), Remo Lupin (Marido) †, Ted Lupin (filho), Lyall Lupin (Sogro) †, Hope Lupin (nascida Howell) (Sogra) †, Cygnus Black III (avõ materno) †, Druella Black (nascida Rosier) (avó materna) †, Belatriz Lestrange (nascida Black) (tia materna) †, Rodolfo Lestrange (tio materno), Narcisa Malfoy (nascida Black) (tia materna), Lúcio Malfoy (tio materno), Draco Malfoy (primo), Escórpio Malfoy (primo de segundo grau), Órion Black (tio-avô materno) †, Walburga Black (tia-avó materna) †, Alphard Black (tio-avô materno) †",Perder suas habilidades de Metamorfomago,"Comprimento, madeira e núcleo desconhecidos","Coelho Jack (antes de 1995), Lobo (1995-1998)",Auror, Lufa-Lufa,"Família Tonks, Escola de Magia e Bruxaria de HogwartsLufa-Lufa, Lufa-Lufa, Ministério da Magia BritânicoSeção dos Aurores, Seção dos Aurores, Ordem da FênixAlvo DumbledoreGuarda Avançada, Alvo Dumbledore, Guarda Avançada, Família Lupin",Ninfadora Lupin (nascida Tonks),Variável (biologicamente pálida),Remo Lupin (marido) †,"2 de maio de 1998 (24/25 anos), Castelo de Hogwarts, Terras Médias, Escócia, Grã-Bretanha",,,,,,
Antes de 1964 (provavelmente)[1],Sangue puro ou mestiço[2],Casado[3],Britânico ou irlandês[4],Xeno[5],,,Humana,Masculino,,,Branco[6],,"Pandora Lovegood (esposa) †, Luna Lovegood (filha), Rolf Scamander (genro), Lorcan (neto), Lysander (neto)",,"Comprimento, madeira e núcleo desconhecidos",Não-corpóreo[8],Editor d'O Pasquim, Corvinal[9],"Família Lovegood, O Pasquim, Escola de Magia e Bruxaria de Hogwarts, Corvinal, Ordem da Fênix, Harry Potter",Xenofílio Lovegood,Branco[7],,,,,,,,
